cve_edo,nom_edo,acronimo_estado,cve_mpo_ine,nom_mpo_ine,cve_edo_mpo_ine,latitude,longitude,pob_tot,grado_prom_esco,metro,lista_nominal,total_votos,por_participacion,por_abstencion,participacion_h,participacion_m,participacion_j,v_pan,v_pri,v_prd,v_pvem,v_pt,v_mc,v_morena,v_pes,v_rsp,v_fxm,v_ci,v_vxm,v_jhh,v_otros,alianza_ganadora,votos_alianza_ganadora,margen_pp,triunfo_original
07,Chiapas,Chis.,049,Larrainzar,07049,16.88361111111111,-92.71333333333334,28910,6.323333333333333,NO,17143,10227,59.65700285830952,40.34299714169048,64.9849603500137,69.9690002583312,67.547821466525,37,6414,34,2582,43,60,592,72,12,19,0,6485,3221,103,Va por México,6485,31.915517747139923,V x M
07,Chiapas,Chis.,118,Santiago El Pinar,07118,16.939722222222223,-92.71444444444444,4959,5.67,NO,2673,2350,87.91619902731014,12.083800972689858,33.0122591943958,30.3005008347245,31.6239316239316,9,73,4,2148,12,7,57,3,3,10,0,86,2217,16,Juntos Haremos Historia,2217,90.68085106382979,JHH
07,Chiapas,Chis.,050,La Libertad,07050,17.69,-91.71833333333332,5104,7.617999999999999,NO,4500,3985,88.55555555555556,11.444444444444445,70.4231830726771,72.1149528513696,71.2792547148375,150,147,41,280,53,76,2152,133,485,49,0,341,2487,667,Juntos Haremos Historia,2487,45.67126725219573,JHH
07,Chiapas,Chis.,051,Mapastepec,07051,15.441666666666666,-92.89166666666668,45888,7.078181818181818,NO,33614,18204,54.15600642589398,45.84399357410602,52.2457408363449,60.3254839107385,56.3780818462703,416,541,180,3026,2380,264,5715,2461,1748,716,0,1139,11123,4925,Juntos Haremos Historia,11123,34.04746209624258,JHH
07,Chiapas,Chis.,052,Las Margaritas,07052,16.31527777777778,-91.98166666666668,138118,6.118157894736842,NO,88444,57356,64.85007462349057,35.14992537650943,62.3815150981822,74.7976850851284,68.732190232878,412,1211,1946,1422,11245,425,17607,18846,1120,339,0,3573,30277,20305,Juntos Haremos Historia,30277,17.38614966176163,JHH
07,Chiapas,Chis.,114,Maravilla Tenejapa,07114,16.139166666666664,-91.29555555555557,16018,5.6579999999999995,NO,9069,6752,74.45142794133862,25.548572058661374,59.5340420719294,71.6113161131611,65.3193495168513,218,553,145,516,1649,147,1089,279,73,87,0,916,3256,439,Juntos Haremos Historia,3256,34.656398104265406,JHH
07,Chiapas,Chis.,053,Mazapa De Madero,07053,15.386944444444444,-92.18777777777778,7955,6.478,NO,6112,4701,76.9142670157068,23.0857329842932,51.5265866209262,58.7891296869625,55.1528684300928,83,1304,153,273,179,67,1531,125,291,63,0,1542,1984,479,Juntos Haremos Historia,1984,9.402254839395873,JHH
07,Chiapas,Chis.,054,Mazatan,07054,14.8625,-92.45,28491,7.328,NO,20053,12803,63.845808607190946,36.154191392809054,58.4122835674616,67.3505154639175,63.0037599957634,1217,770,225,1609,1924,323,4440,1039,430,394,0,2215,7976,1863,Juntos Haremos Historia,7976,44.99726626571897,JHH
07,Chiapas,Chis.,055,Metapa,07055,14.836111111111112,-92.19111111111113,6579,8.36,NO,4914,3651,74.2979242979243,25.702075702075703,66.7713004484305,78.0683256010122,72.5929145837861,174,256,50,304,493,166,1568,167,168,36,0,482,2365,371,Juntos Haremos Historia,2365,51.57491098329225,JHH
07,Chiapas,Chis.,056,Mitontic,07056,16.869444444444444,-92.63,16338,4.902,NO,7985,5542,69.40513462742642,30.59486537257358,27.7477477477477,32.583065380493,30.3030303030303,143,1615,546,117,83,64,1022,138,241,1133,0,2308,1223,1512,Va por México,2308,14.363045831829664,V x M
07,Chiapas,Chis.,057,Motozintla,07057,15.364166666666666,-92.24805555555557,77117,6.902142857142857,NO,51118,30243,59.16311279784029,40.83688720215971,51.6494670952462,61.2686994196027,56.541259613386,356,2844,972,7311,2339,420,4787,3691,4595,254,0,4172,14438,8540,Juntos Haremos Historia,14438,19.5020335284198,JHH
07,Chiapas,Chis.,058,Nicolas Ruiz,07058,16.43722222222222,-92.5847222222222,4765,6.22,NO,3083,2413,78.26792085630879,21.73207914369121,47.5924633635729,46.064139941691,46.8449197860963,0,0,0,3,5,1,2396,1,2,0,0,0,2405,3,Juntos Haremos Historia,2405,99.54413593037712,JHH
07,Chiapas,Chis.,059,Ocosingo,07059,16.90722222222222,-92.0961111111111,238751,6.109838709677419,NO,148580,96030,64.631848162606,35.368151837393995,54.8785898985572,64.0852488348268,59.6168127135007,462,1929,490,42094,1804,1825,37314,2179,2935,918,0,2883,81212,6032,Juntos Haremos Historia,81212,78.28803498906592,JHH
07,Chiapas,Chis.,113,Benemerito De Las Americas,07113,16.515555555555554,-90.65472222222223,23603,6.58,NO,13087,8072,61.67952930388936,38.32047069611064,66.430660304756,77.6084223758642,71.9617448098904,50,245,54,91,2688,61,4282,164,117,31,0,350,7061,312,Juntos Haremos Historia,7061,83.1392467789891,JHH
07,Chiapas,Chis.,115,Marques De Comillas,07115,16.334999999999997,-90.76416666666668,12881,6.076,NO,8079,6564,81.24767916821389,18.752320831786108,67.9912901469788,73.5849056603774,70.7611981313548,31,86,37,16,3895,19,2255,64,39,5,0,155,6166,108,Juntos Haremos Historia,6166,91.5752589884217,JHH
