fecha_conferencia,titulo,es_estenografica,es_mananera,url,fecha_publicacion,archivo,descargado,caracteres
2026-07-05,"Versión estenográfica. Vivienda para el Bienestar. Morelia, Michoacán",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-vivienda-para-el-bienestar-morelia-michoacan,2026-07-05T01:58:00Z,NA,FALSE,NA
2026-07-04,"Versión estenográfica. Pensión Mujeres Bienestar. Quiroga, Michoacán",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-pension-mujeres-bienestar-quiroga-michoacan,2026-07-04T18:38:00Z,NA,FALSE,NA
2026-07-04,"Versión estenográfica. Plan Michoacán. Pátzcuaro, Michoacán",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-plan-michoacan-patzcuaro-michoacan,2026-07-04T03:45:00Z,NA,FALSE,NA
2026-07-03,"Versión estenográfica. Plan de Justicia para el Pueblo P'urhépecha. Cherán, Michoacán",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-plan-de-justicia-para-el-pueblo-p-urhepecha-cheran-michoacan,2026-07-03T23:37:00Z,NA,FALSE,NA
2026-07-03,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 03 de julio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-julio-de-2026,2026-07-03T14:56:00Z,mananeras/txt/2026-07-03_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-julio-de-2026.txt,TRUE,96425
2026-07-02,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 02 de julio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-02-de-julio-de-2026,2026-07-02T16:48:00Z,mananeras/txt/2026-07-02_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-02-de-julio-de-2026.txt,TRUE,90878
2026-07-02,"Versión estenográfica. Derecho de réplica, miércoles 01 de julio 2026. Palacio Nacional",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-derecho-de-replica-miercoles-01-de-julio-2026-palacio-nacional,2026-07-02T02:58:00Z,NA,FALSE,NA
2026-07-01,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 01 de julio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-01-de-julio-de-2026,2026-07-01T18:39:00Z,mananeras/txt/2026-07-01_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-01-de-julio-de-2026.txt,TRUE,74988
2026-06-30,"Versión estenográfica. 7.° Aniversario de la Guardia Nacional. Huehuetoca, Estado de México",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-7-aniversario-de-la-guardia-nacional-huehuetoca-estado-de-mexico,2026-06-30T17:32:00Z,NA,FALSE,NA
2026-06-30,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 30 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-30-de-junio-de-2026,2026-06-30T17:08:00Z,mananeras/txt/2026-06-30_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-30-de-junio-de-2026.txt,TRUE,102381
2026-06-29,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 29 de junio de 2026,TRUE,TRUE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-29-de-junio-de-2026,2026-06-29T14:36:00Z,mananeras/txt/2026-06-29_version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-29-de-junio-de-2026.txt,TRUE,89706
2026-06-28,"Versión estenográfica. Vivienda para el Bienestar. Tuxtla Gutiérrez, Chiapas",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-vivienda-para-el-bienestar-tuxtla-gutierrez-chiapas,2026-06-28T20:23:00Z,NA,FALSE,NA
2026-06-28,"Versión estenográfica. Plan Nacional de Maíz Nativo. Pijijiapan, Chiapas",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-plan-nacional-de-maiz-nativo-pijijiapan-chiapas,2026-06-28T00:55:00Z,NA,FALSE,NA
2026-06-27,"Versión estenográfica. Inauguración de planta productora de moscas estériles. Metapa, Chiapas",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-inauguracion-de-planta-productora-de-moscas-esteriles-metapa-chiapas,2026-06-27T19:24:00Z,NA,FALSE,NA
2026-06-27,"Versión estenográfica. Pensión Mujeres Bienestar. Tuxtla Chico, Chiapas",TRUE,FALSE,https://www.gob.mx/presidencia/es/articulos/version-estenografica-pension-mujeres-bienestar-tuxtla-chico-chiapas,2026-06-27T02:42:00Z,NA,FALSE,NA
