cve_edo,year,formalidad
10,2013,56.90665
11,2013,61.4072
12,2013,78.40227
13,2013,73.4979025
14,2013,53.90328
15,2013,58.52965
16,2013,71.8786875
17,2013,67.19885
18,2013,63.671265
19,2013,39.2353575
20,2013,81.06034
21,2013,74.1829825
22,2013,45.209425
23,2013,48.0316825
24,2013,58.037625
25,2013,50.7494875
26,2013,45.056935
27,2013,63.46872
28,2013,48.53993
29,2013,72.94475
30,2013,67.1162175
31,2013,64.335055
32,2013,66.1793825
01,2014,45.4645725
02,2014,39.022795
03,2014,40.6305
04,2014,60.6628575
05,2014,36.54684
06,2014,53.939295
07,2014,79.11597
08,2014,37.87181
09,2014,50.0661075
10,2014,55.3335575
11,2014,59.0029825
12,2014,79.45593
13,2014,71.338445
14,2014,52.04154
15,2014,58.700775
16,2014,71.4590575
17,2014,66.1801625
18,2014,62.659265
19,2014,37.196615
20,2014,79.568065
21,2014,72.0819925
22,2014,44.764135
23,2014,46.95551
24,2014,57.7732175
25,2014,49.748575
26,2014,43.736715
27,2014,63.0866175
28,2014,46.308385
29,2014,72.83656
30,2014,68.3348175
31,2014,62.567275
32,2014,64.7918125
01,2015,43.7367425
02,2015,39.6346975
03,2015,39.98838
04,2015,61.3398125
05,2015,35.3824125
06,2015,53.7716325
07,2015,79.0310725
08,2015,36.774535
09,2015,50.4153825
10,2015,56.06712
11,2015,57.53148
12,2015,80.615625
13,2015,71.9029475
14,2015,50.0868575
15,2015,59.620695
16,2015,70.6626775
17,2015,66.9792825
18,2015,62.0849475
19,2015,37.0141975
20,2015,80.363715
21,2015,73.59332
22,2015,45.1520625
23,2015,46.541205
24,2015,57.5610225
25,2015,50.6976225
26,2015,44.427785
27,2015,63.77964
28,2015,46.4700625
29,2015,72.0917225
30,2015,68.7580825
31,2015,62.1445
32,2015,64.695445
01,2016,43.8903825
02,2016,39.5432925
03,2016,38.6085825
04,2016,61.9777325
05,2016,37.0530125
06,2016,52.58582
07,2016,79.6327025
08,2016,34.6826175
09,2016,47.9361425
10,2016,53.0573525
11,2016,55.7519875
12,2016,78.9110525
13,2016,72.5081925
14,2016,50.20155
15,2016,57.54219
16,2016,71.48508
17,2016,67.76775
18,2016,62.76114
19,2016,36.5870525
20,2016,81.9716525
21,2016,73.6499425
22,2016,43.4525425
23,2016,46.811605
24,2016,57.6170775
25,2016,50.7579225
26,2016,44.189525
27,2016,65.6384225
28,2016,47.3503125
29,2016,72.658765
30,2016,69.657015
31,2016,62.399615
32,2016,62.4466525
01,2017,43.443515
02,2017,39.073245
03,2017,39.583395
04,2017,63.58863
05,2017,36.9749675
06,2017,51.2373725
07,2017,79.6920675
08,2017,35.558135
09,2017,47.82462
10,2017,53.60475
11,2017,56.0124925
12,2017,78.6714925
13,2017,73.91771
14,2017,50.5056975
15,2017,57.033515
16,2017,69.5869975
17,2017,66.6634
18,2017,62.760095
19,2017,35.997865
20,2017,81.4574075
21,2017,73.66817
22,2017,46.00387
23,2017,46.821725
24,2017,54.8276675
25,2017,49.8700925
26,2017,43.9202625
27,2017,67.8579725
28,2017,45.9448925
29,2017,71.3204675
30,2017,69.3063525
31,2017,61.9531375
32,2017,61.47997
01,2018,42.8847875
02,2018,39.44196
03,2018,37.933165
04,2018,62.56571
05,2018,35.31012
06,2018,49.2687
07,2018,79.052675
08,2018,36.24222
09,2018,49.01583
10,2018,51.66185
11,2018,53.6720525
12,2018,77.97465
13,2018,74.4990125
14,2018,49.7363475
15,2018,57.87621
16,2018,69.23928
17,2018,67.3625625
18,2018,62.711865
19,2018,36.5767875
20,2018,81.0923125
21,2018,72.7167025
22,2018,43.4536425
23,2018,46.2838975
24,2018,54.9273675
25,2018,49.8434025
26,2018,43.222545
27,2018,66.7687175
28,2018,44.2575425
29,2018,72.060835
30,2018,68.4481575
31,2018,61.9784775
32,2018,60.9918575
01,2019,41.0962525
02,2019,37.588515
03,2019,37.7186225
04,2019,62.034665
05,2019,33.844195
06,2019,51.0611925
07,2019,74.8841625
08,2019,36.3771275
09,2019,49.4242625
10,2019,50.819645
11,2019,53.747645
12,2019,78.8872875
13,2019,73.62895
14,2019,48.89413
15,2019,58.0811625
16,2019,69.0488725
17,2019,67.87889
18,2019,62.895135
19,2019,38.01684
20,2019,81.4036
21,2019,72.3452175
22,2019,40.8534625
23,2019,46.1208025
24,2019,55.3968025
25,2019,50.7473075
26,2019,42.83756
27,2019,65.32769
28,2019,44.1799775
29,2019,71.6856775
30,2019,68.26765
31,2019,60.7245525
32,2019,60.45276
01,2020,39.7651366666667
02,2020,37.40403
03,2020,37.2850533333333
04,2020,59.9502033333333
05,2020,35.5558366666667
06,2020,50.35981
07,2020,75.0331466666667
08,2020,35.6952366666667
09,2020,46.0497966666667
10,2020,50.9341733333333
11,2020,54.3968766666667
12,2020,77.7133433333333
13,2020,72.94303
14,2020,48.39177
15,2020,55.8912566666667
16,2020,65.8975066666667
17,2020,65.8390666666667
18,2020,56.73361
19,2020,36.7885433333333
20,2020,78.0331266666667
21,2020,71.4603333333333
22,2020,41.83135
23,2020,47.7291233333333
24,2020,54.1496866666667
25,2020,46.95002
26,2020,43.3661966666667
27,2020,63.69596
28,2020,43.4083333333333
29,2020,71.0237866666667
30,2020,67.56539
31,2020,57.5789
32,2020,61.12362
01,2021,39.9502025
02,2021,38.2192325
03,2021,37.2233225
04,2021,62.8229775
05,2021,35.9851625
06,2021,48.64061
07,2021,75.5560225
08,2021,36.1984425
09,2021,47.710895
10,2021,52.05358
11,2021,55.564115
12,2021,77.1620975
13,2021,72.409855
14,2021,47.596945
15,2021,56.5230025
16,2021,65.7027975
17,2021,66.8022125
18,2021,57.895035
19,2021,36.62402
20,2021,80.7312375
21,2021,71.802365
22,2021,43.03722
23,2021,48.098795
24,2021,55.6641975
25,2021,47.9531425
26,2021,41.469905
27,2021,64.8872975
28,2021,45.0527175
29,2021,71.5574975
30,2021,70.67464
31,2021,60.788575
32,2021,61.2969075
01,2022,40.471705
02,2022,37.73513
03,2022,38.3061875
04,2022,61.8089975
05,2022,34.571795
06,2022,48.37149
07,2022,75.7217775
08,2022,36.311365
09,2022,46.932605
10,2022,51.0616375
11,2022,55.4930125
12,2022,79.017675
13,2022,72.54658
14,2022,46.7487075
15,2022,56.4843675
16,2022,66.9197075
17,2022,64.87664
18,2022,59.5231275
19,2022,36.6319075
20,2022,81.204565
21,2022,71.1591625
22,2022,42.7718025
23,2022,46.5795975
24,2022,54.4799775
25,2022,47.945545
26,2022,41.368675
27,2022,63.6991275
28,2022,44.8363025
29,2022,71.567135
30,2022,67.6461175
31,2022,60.791545
32,2022,61.5210325
01,2023,40.609105
02,2023,37.5920025
03,2023,37.6883825
04,2023,60.6433425
05,2023,34.735785
06,2023,48.805995
07,2023,74.6113
08,2023,34.924385
09,2023,46.193785
10,2023,51.0662525
11,2023,53.9255925
12,2023,78.236415
13,2023,71.9136475
14,2023,47.115135
15,2023,56.0538525
16,2023,67.0696925
17,2023,65.378105
18,2023,59.1070425
19,2023,36.6924325
20,2023,80.723075
21,2023,69.9378575
22,2023,44.637705
23,2023,45.879075
24,2023,53.7155925
25,2023,47.510315
26,2023,41.744645
27,2023,62.44228
28,2023,43.7487925
29,2023,70.774915
30,2023,68.167515
31,2023,60.9658575
32,2023,60.596395
01,2024,40.31489
02,2024,36.95831
03,2024,36.816695
04,2024,59.117195
05,2024,34.6973475
06,2024,46.6545
07,2024,74.7937625
08,2024,35.3022125
09,2024,45.6355875
10,2024,49.77034
11,2024,54.2598525
12,2024,77.897985
13,2024,71.2303325
14,2024,47.501945
15,2024,53.71301
16,2024,66.2719425
17,2024,66.6929275
18,2024,59.0277075
19,2024,34.8866975
20,2024,80.1178375
21,2024,69.996185
22,2024,42.858575
23,2024,44.7202575
24,2024,54.12562
25,2024,47.8230875
26,2024,40.8617725
27,2024,63.914855
28,2024,43.5742075
29,2024,69.742365
30,2024,68.762915
31,2024,59.168405
32,2024,60.1873625
01,2025,41.86566
02,2025,37.9754975
03,2025,38.12925250000001
04,2025,60.18513
05,2025,33.4868075
06,2025,48.1619
07,2025,76.4711575
08,2025,35.16308
09,2025,45.320545
10,2025,51.9887475
11,2025,54.33681
12,2025,76.3544475
13,2025,71.31814499999999
14,2025,47.0417525
15,2025,55.4224475
16,2025,68.4909775
17,2025,65.104185
18,2025,57.967955
19,2025,33.950755
