CVEGEO,ingreso_2022,hogares
01001,28609.32273983357,266778
01002,17167.31205727447,12542
01003,20459.16457416956,15546
01004,17342.63378457803,3937
01005,23692.3416245961,33214
01006,19340.4627340604,11456
01007,21591.08431647467,13572
01008,16071.3604314632,2381
01009,17240.11543890183,5422
01010,18517.99331072377,5210
01011,19584.485868075,16387
02001,26580.11046805993,139850
02002,29328.14307064477,330356
02003,29101.1037376571,31140
02004,31777.94575462513,576708
02005,26876.31133632653,38109
02006,11841.6324716778,32750
03001,22328.0689698815,22216
03002,22412.98434242453,19402
03003,29476.7446756188,91287
03008,35074.45781336667,101934
03009,23203.05701015117,5629
04001,16961.6563236774,15287
04002,21115.43400338666,85297
04003,23615.22594239193,72094
04004,15346.82452043243,21470
04005,15169.68000371437,8291
04006,14089.29017369373,10241
04007,15253.84249394997,2546
04008,14856.65362840907,3066
04009,13954.49202477597,16833
04010,11132.0081811308,8037
04011,11920.27599497157,13289
04012,14975.34806212103,4274
05001,18425.9452738763,363
05002,22413.3515039643,47231
05003,20410.0319242589,6850
05004,20537.60072791993,8633
05005,16654.01778785203,471
05006,20843.72403514013,8379
05007,19254.66489712837,3776
05008,16196.8148382573,908
05009,16988.7010921092,15897
05010,21922.8451612454,23366
05011,20869.21794531463,3402
05012,21902.9753829571,521
05013,18194.1650189406,492
05014,18323.0646048577,2727
05015,16586.21107935423,486
05016,18346.82399728933,553
05017,19194.24041309067,31201
05018,26407.53683008393,69886
05019,20129.91152246476,2332
05020,18071.86910010203,20657
05021,18058.2184411086,1973
05022,25021.01856111594,9372
05023,13702.5762351603,2663
05024,18191.47362053646,12719
05025,27790.1312420362,51705
05026,18295.0805151592,994
05027,27771.90642039376,34386
05028,22773.41478250787,20212
05029,21252.11287959783,725
05030,29321.18575510207,242588
05031,21368.87645196727,7622
05032,22003.27903163903,13094
05033,17363.94619481724,26577
05034,16834.6364586276,1924
05035,25282.24429348667,215039
05036,14820.83469464093,5353
05037,16067.51204414087,1820
05038,18625.9831815272,3986
06001,18109.4151717315,8224
06002,24908.20067764644,50352
06003,17845.44624237333,6300
06004,17727.86294716743,6189
06005,21679.771067341,9322
06006,16446.8623113815,1711
06007,24045.2213515888,59761
06008,20270.8715857179,2913
06009,21012.98171280707,33001
06010,24387.00771655027,49080
07001,11529.07830212603,4415
07002,12459.15100421083,5431
07003,13164.27958581723,7604
07004,8180.585839789132,7969
07005,10031.60259319207,5663
07006,9200.6107634046,7580
07007,8720.986213922533,2559
07008,10936.68097280763,7296
07009,11410.34791689993,12358
07010,8320.487468416966,1567
07011,8033.051033339801,4523
07012,13374.2889681854,16192
07013,11277.45861760247,8407
07014,8594.9033103721,5049
07015,11315.37257551303,12144
07016,12888.66834755773,4785
07017,14733.11125974847,21765
07018,8815.841567801966,2444
07019,15497.0967557277,44427
07020,10393.134731223,12251
07021,12573.85931992717,6055
07022,7909.696911172733,4819
07023,9820.100760457033,22654
07024,8271.184810264333,2188
07025,10101.98356139047,1722
07026,7564.900541830567,9503
07027,16018.04274993747,29647
07028,10207.45729745133,1627
07029,12486.2273696307,1476
07030,10236.17003799503,8807
07031,8623.4860762586,26645
07032,10097.58374321783,7880
07033,8012.604036637134,1511
07034,11548.93999503353,20188
07035,12889.80292017294,3694
