pc1,pc2,tema,fecha
-0.15997194939958054,-0.21821195799655668,salud,2026-08-03
0.21118714610106934,0.08473925376404558,seguridad,2026-08-03
0.1629811240926666,-0.07637611549470066,otros,2026-08-03
0.1294508716299003,-0.2265845472756354,otros,2026-08-03
0.24116119195957555,-0.15404172700278934,otros,2026-08-03
-0.04831670627696498,0.04811166423764009,otros,2026-08-03
0.2580894306885707,-0.08862390306931711,otros,2026-08-03
0.2297363299296406,-0.1525006329615577,otros,2026-08-03
0.2739965242545219,-0.082884828084027945,otros,2026-08-03
0.22321476114045136,-0.041596767340308156,otros,2026-08-03
0.2225895970783606,-0.00945786750702569,otros,2026-08-03
0.02533351054158454,-0.05506362501685367,otros,2026-08-03
-0.054460134837378195,0.25619101471139666,salud,2026-08-03
0.278300015968936,0.17061784397998106,seguridad,2026-08-03
0.2647285383557549,0.20872440745412962,seguridad,2026-08-03
-0.005148053493276993,0.19658846969435742,salud,2026-08-03
0.19805280562235372,0.20733339828504263,otros,2026-08-03
0.14466926471281927,0.29522577026955643,otros,2026-08-03
0.3278466910589273,0.2533458997001854,otros,2026-08-03
0.07622952880751899,0.21221627552972955,tren,2026-08-03
-0.014266861915890454,0.14029509352701786,seguridad,2026-08-03
0.3197458068973571,0.21046130367350652,seguridad,2026-08-03
0.29571125285406985,0.2701093764784714,otros,2026-08-03
0.3250445679226931,0.2613091745089837,otros,2026-08-03
0.3245262694443551,0.27945906329224407,otros,2026-08-03
0.24480166291608588,0.2590818471486848,tren,2026-08-03
-0.01955633702704161,0.1970842195639299,tren,2026-08-03
0.1876775567825379,0.17461620692848895,otros,2026-08-03
0.06846404463231173,0.15189891939046496,otros,2026-08-03
-0.21060837939196114,0.135311927555985,otros,2026-08-03
-0.0950463230566777,0.191302100198281,otros,2026-08-03
-0.06198362625297158,0.20209198728524275,seguridad,2026-08-03
0.17227415926095035,0.27133134039178347,seguridad,2026-08-03
-0.09930415334987093,0.13120419036424638,otros,2026-08-03
0.1649746506310694,0.15223710472439475,otros,2026-08-03
-0.15223371774395816,0.1599959239253799,otros,2026-08-03
-0.09529098927192357,0.20095242426389634,otros,2026-08-03
-0.19464004247017216,0.23471970403340392,otros,2026-08-03
0.018743781331788632,0.20162406871214764,otros,2026-08-03
0.20495977591407805,0.29825313816605015,otros,2026-08-03
-0.03951867597789112,0.2698237018745152,otros,2026-08-03
-0.13180213960504492,0.26251817538796807,seguridad,2026-08-03
0.11237320113325744,0.28654309517140264,seguridad,2026-08-03
0.004390217734675348,0.32666531004731614,otros,2026-08-03
0.288877913826778,0.33241098405152686,otros,2026-08-03
0.23099952964355072,0.29556067647338446,otros,2026-08-03
-0.13944218295401706,0.22493425787851853,salud,2026-08-03
-0.021618397357349297,0.18941380779527311,salud,2026-08-03
-0.14937949995972516,0.22753037691208544,salud,2026-08-03
-0.11494179771862197,0.17014883398809885,salud,2026-08-03
0.007260412849938451,0.2537843103677232,otros,2026-08-03
0.1814951484231005,0.26884425248765575,otros,2026-08-03
-0.09464867967645627,0.28626493264624775,otros,2026-08-03
0.25310958058738814,0.30834332231318584,salud,2026-08-03
0.25897766685451146,0.251679481629229,seguridad,2026-08-03
0.02855711944169873,0.2765206109269313,otros,2026-08-03
-0.17291732086119663,0.19524345162797735,otros,2026-08-03
0.17803978109446772,0.07821596976392216,otros,2026-08-03
-0.18745089189712652,0.08253415633004815,otros,2026-08-03
-0.1324408344520897,0.1282222062084686,otros,2026-08-03
-0.23036608815267795,0.15131305166446743,seguridad,2026-08-03
-0.2611682562596623,0.10562382301732309,seguridad,2026-08-03
-0.16099263799072877,0.07480865586361081,salud,2026-08-03
-0.038347212259911646,0.04166335286318982,salud,2026-08-03
-0.1637471863130802,0.08492283241465401,seguridad,2026-08-03
-0.2389165374484403,-0.03344147438061728,otros,2026-08-03
-0.18797665820142426,0.13577227595690028,otros,2026-08-03
0.2665162008428986,0.2822007980685539,seguridad,2026-08-03
-0.009793963723169699,0.2424229353497532,otros,2026-08-03
-0.05469650053109111,0.22555974647692467,otros,2026-08-03
0.23307484253100622,0.2680973278902796,seguridad,2026-08-03
-0.05688822287664603,0.24669696475774047,otros,2026-08-03
-0.13034246624121187,0.19383643593854366,seguridad,2026-08-03
-0.14078703878084545,0.05891893950688892,salud,2026-08-03
-0.006416383729492338,0.014083283577245687,otros,2026-08-03
-0.19044180037344022,-0.0826229599490575,otros,2026-08-04
0.18323249173993406,-0.18037595357415925,otros,2026-08-04
-0.09312821928819015,-0.22112418949821933,otros,2026-08-04
0.1308006378723234,-0.24582724434992453,otros,2026-08-04
0.05508264762867622,-0.2057848579514245,otros,2026-08-04
-0.17088282417606662,-0.07036524765299841,otros,2026-08-04
0.055273011091697126,0.24062780845071025,seguridad,2026-08-04
0.19159865250430244,0.3177066959355332,seguridad,2026-08-04
0.18309093382691527,0.318947517487011,seguridad,2026-08-04
0.05425557499647984,0.23372161003816574,seguridad,2026-08-04
0.06890437212126928,0.10252763049614642,otros,2026-08-04
0.19236589128320164,0.044261563284990924,seguridad,2026-08-04
0.16487265905011905,0.06442984411369423,seguridad,2026-08-04
-0.11099482578920865,0.08149062481925892,seguridad,2026-08-04
-0.1868980771815782,0.051027232360085974,otros,2026-08-04
0.12414236779263396,0.1343885466884111,seguridad,2026-08-04
0.04540131879308917,0.1600020536642594,otros,2026-08-04
0.1387938324639724,0.32724325851502717,otros,2026-08-04
0.19600179944885754,0.4062163446584916,otros,2026-08-04
0.24137034215827777,0.3816821476048041,otros,2026-08-04
0.23948228492111986,0.38049360253062514,otros,2026-08-04
0.2446451859918237,0.3295609654260317,otros,2026-08-04
0.2733240216523026,0.2963912441538651,otros,2026-08-04
0.21959594042968517,0.3318608016792867,otros,2026-08-04
-0.06190409961922643,0.28516661102274293,otros,2026-08-04
-0.2561113324621862,0.2535803175707338,otros,2026-08-04
-0.2344740065236489,0.2317559864184765,otros,2026-08-04
-0.14773672205792715,0.21946917561099913,otros,2026-08-04
-0.19072210691294633,0.2666300190211255,otros,2026-08-04
0.19013731492909064,0.35774522509400897,otros,2026-08-04
0.20884794968654252,0.34644952098663606,otros,2026-08-04
0.23606921537312817,0.32275609335446015,otros,2026-08-04
0.19047350536004004,0.31930017608869604,otros,2026-08-04
-0.17665137152133834,0.31271155998524625,otros,2026-08-04
-0.20884652268256818,0.25746603494014086,otros,2026-08-04
-0.14479571882823392,0.2911295115380854,otros,2026-08-04
0.21264179748901038,0.344410215207663,otros,2026-08-04
0.14073635233700263,0.2707734943858197,otros,2026-08-04
0.03913674796672012,0.3063452828364707,otros,2026-08-04
-0.21818037098156856,0.2767105943576349,otros,2026-08-04
-0.12263556384142141,0.1661215261100493,salud,2026-08-04
0.15369269336894034,0.17634709114827493,vivienda,2026-08-04
-0.21802784913670814,0.1426023681288176,vivienda,2026-08-04
-0.041612645567319986,0.15868436465124908,otros,2026-08-04
-0.17673958365808834,0.08144754601655563,otros,2026-08-04
0.09700275379922471,0.10003507867643524,otros,2026-08-04
-0.14527435033421024,0.023055876304570632,comercio,2026-08-04
-0.2790445486475273,0.016599214054471033,comercio,2026-08-04
-0.23889491430850424,0.13791297386787518,otros,2026-08-04
-0.23547740384321295,0.18445521686584104,otros,2026-08-04
-0.05677697921086125,0.2536777778202052,otros,2026-08-04
-0.2103300431900963,0.24970267273538638,otros,2026-08-04
-0.20185706157085614,0.11623425042963424,otros,2026-08-04
-0.2543119642836717,0.14102751002328012,otros,2026-08-04
-0.2565327953185824,0.09261464526159072,otros,2026-08-04
-0.21927938644075481,-0.07585459068077605,salud,2026-08-04
-0.13192473125299525,-0.10739092828647834,seguridad,2026-08-04
-0.06567640229882385,-0.004054329469210375,seguridad,2026-08-04
-0.14432534892730361,-0.05357969868169285,salud,2026-08-04
-0.1650180046782113,-0.07963716390160704,otros,2026-08-04
-0.2646210544753184,-0.028089813958024644,seguridad,2026-08-04
-0.2939003983978485,-0.009148482053382371,seguridad,2026-08-04
-0.24321170622170765,0.05125566668003794,seguridad,2026-08-04
-0.23887537211736715,0.10842560640033892,seguridad,2026-08-04
-0.1590471111776447,0.11234533604294843,otros,2026-08-04
-0.23695296852129646,0.22479232663254853,seguridad,2026-08-04
-0.21393066532019164,0.2883825889656698,seguridad,2026-08-04
0.23491177906467525,0.3636041825449307,otros,2026-08-04
-0.05164112728617862,0.2999226315829278,otros,2026-08-04
0.1554480892659681,0.31980487213174574,otros,2026-08-04
0.1621691356510914,0.3414130085571269,seguridad,2026-08-04
0.12497217872576749,0.11804521979700142,seguridad,2026-08-04
0.14457085890807433,0.034669205627563315,seguridad,2026-08-04
0.1504836345081211,0.13559278204795897,otros,2026-08-04
0.10718597109477529,0.07677555334573366,otros,2026-08-04
0.10067272746391444,0.0989649977274726,otros,2026-08-04
-0.2162450505887458,0.04328979903248452,otros,2026-08-04
-0.28079247575121974,0.0241925172152303,otros,2026-08-04
-0.23057519191769751,-0.18421873595495342,vivienda,2026-08-05
-0.2083316282518137,-0.11109469099190815,vivienda,2026-08-05
-0.1574607703580568,-0.23054494867325773,vivienda,2026-08-05
-0.0786249115160716,-0.24529741170484523,vivienda,2026-08-05
-0.05451044902935763,-0.1949059005230808,vivienda,2026-08-05
-0.10392719523980326,-0.09534067190956358,vivienda,2026-08-05
-0.25694304861084993,-0.13258995338924076,vivienda,2026-08-05
0.15730129289106848,-0.12606889815933114,seguridad,2026-08-05
-0.0536946931978603,-0.18239203662671707,seguridad,2026-08-05
-0.050682581006196784,-0.2049913132635929,seguridad,2026-08-05
0.19522556519240955,-0.18278844903536653,otros,2026-08-05
0.19172477955535544,-0.21142818128612603,otros,2026-08-05
0.054218697914262155,-0.17814332199173413,otros,2026-08-05
0.26142539030910444,-0.220274143798864,otros,2026-08-05
-0.12458668287015118,-0.20016893065158942,salud,2026-08-05
0.03246379842750133,-0.22918274256921295,salud,2026-08-05
-0.0367827808025166,-0.2665968821449028,salud,2026-08-05
0.0984339521178092,-0.2520703483090993,salud,2026-08-05
-0.04152130330751294,-0.25156571078125894,otros,2026-08-05
-0.13388090271662664,-0.20708686783225136,otros,2026-08-05
-0.07898912715612562,-0.229085838141149,otros,2026-08-05
-0.1383988120240905,-0.19436140396514462,seguridad,2026-08-05
-0.10216309276728823,-0.19545933901079474,seguridad,2026-08-05
-0.1371803654535949,-0.20661135072236983,salud,2026-08-05
-0.1057193418927813,-0.26999782158870533,salud,2026-08-05
-0.11315379437050378,-0.23534951934953952,salud,2026-08-05
-0.15234987488723237,-0.24274582130577926,otros,2026-08-05
-0.16044240820984257,-0.07754547709625512,otros,2026-08-05
0.036420050935763136,-0.03519744970265876,otros,2026-08-05
-0.1582796539967453,-0.1639719456218712,otros,2026-08-05
0.16280091006904793,-0.15624286309963828,otros,2026-08-05
-0.1367284366985296,-0.15335214575157619,otros,2026-08-05
-0.24886635257647904,0.06300249226410634,otros,2026-08-05
-0.22273463129428983,0.013815976147438623,seguridad,2026-08-05
-0.2416927561418442,0.07019980911009162,seguridad,2026-08-05
-0.274234438021884,0.025496949383830823,otros,2026-08-05
-0.3233873348697122,0.18874034652931013,otros,2026-08-05
-0.1932826097271272,0.18377048207359428,otros,2026-08-05
-0.23392877117556798,0.29559630537846865,seguridad,2026-08-05
0.23989257921168977,0.3859411646068649,seguridad,2026-08-05
0.17550962473731269,0.4046252630670409,otros,2026-08-05
-0.08416667159358968,0.2833638150553237,otros,2026-08-05
-0.22015827866881713,0.08144569299593775,otros,2026-08-05
